topic, posthw1,"Question: Hi all,
We have made a minor correction to the grades from HW1. This correction could only potentially improve student grades by a few points. No one's grade went down.
In particular, under the ""Data Structures"" section of the ""Style, Organization, and Documentation"" portion of your grade, we have opted to give everyone the full five points. We decided to do so because the rubric was not consistent with the presentation of ADTs and data structures made in lecture.
If you had already received the full five points, then your grade remains unchanged. If you received fewer than five points, than your grade will have gone up a small amount.
Cheers,
Milod"
hw1,"Question: Hi all,
We have made a minor correction to the grades from HW1. This correction could only potentially improve student grades by a few points. No one's grade went down.
In particular, under the ""Data Structures"" section of the ""Style, Organization, and Documentation"" portion of your grade, we have opted to give everyone the full five points. We decided to do so because the rubric was not consistent with the presentation of ADTs and data structures made in lecture.
If you had already received the full five points, then your grade remains unchanged. If you received fewer than five points, than your grade will have gone up a small amount.
Cheers,
Milod"
hw1,"Question: Hi! I wanted to make a regrade request on one section of my HW1 assignment in Gradescope. However, I did not see the button to allow them. Are they allowed for this assignment?
Answer: Yes, we do regrade requests, but they are done in-person at OH. There's also a two-week window from when the assignment grades are released to start a regrade request."
hw1,"Question: I have a feeling that the hidden tests that failed both on my hw1 final and hw2 current submission are the same. Will we get our hw1 grades before hw2 is due to see what mistakes we might have made in both programs?
Thanks!
Answer: Yes, you’ll get HW1 grades back before HW2 is due."
hw1,"Question: when I run my unit tests, it usually stops at 3/4 tests or even 0/1 tests. Is this a problem with my memory being too full, which I remember happened in cs11 as well? How can I approach this if my program's been buffering for a while.
Answer: I think that Elias' answer is likely correct. Typically if you are out of space, unit_test will fail to run altogether. But in your case, it seems like there is one test that it is unable to run to completion. It is highly likely that this test has some kind of infinite loop. unit_test times out automatically after 60 seconds—if you try to let it run for greater than this time, does it timeout?
If you'd like to free up space on your drive, you can run the ""free_space"" program, which will delete cached memory, or you can backup and remove old files, e.g., from CS 11. But I suspect your issue is not a quota issue."
hw1,"Question: Hi,
In part D of the read me where it states: 
""The files that you provided and a short description of what each file is and its purpose""
Is this asking for all the files we are submitting, including timer_main.cpp, simple_exception.cpp, and Makefile? Or just the files we directly affected, like CharArrayList.cpp, CharArrayList.h, and unit_test.h?
Thanks!
Answer: You should list and describe any file you submit and only submit the files your program depends on. So, you don't need to submit timer_main.cpp or simple_exception.cpp"
hw1,"Question: I got 72/72 but 71 should be the maximum. Does it mean there are hidden hidden tests?
Answer: Sorry, that's a mistake. 72 is the maximum score, not 71. I just updated gradescope. Thanks for catching that!"
hw1,"Question: I am confused about what to say for the README section asking us to explain how to compile and run our program. I only used unit_test and never made an executable to run. What should we say for this portion of the readme?
Answer: For this first homework, just saying that unit_test is used to compile and run is sufficient. We didn't expect you to edit the Makefile to produce an executable or anything for homework 1, but we will for future assignments (which is where that section is more pertinent)."
hw1,"Question: For the insertInOrder function in the spec, it says to assume that the array list is already in order. Does this mean that we should test whether or not the char we are inserting is greater/less than the characters in the array list from left to right? 
For example, if the current array list is ""ABEC"", and we want to call the insertInOrder function with 'D' as the argument, should the function set the array list to be ""ABDEC"" even though this is not in ASCII order? (not sure if I really worded this to make sense but was a bit confused by the spec's explanation of the function)
Answer: Ditto everything Thomas said. ABEC would not be a valid array to call insertInOrder on because clearly it is not properly sorted."
hw1,"Question: If the autograder gives a score like XX.5/72, how should that be interpreted? I pass all the unhidden tests, but would a half-point be given if a test has the correct result, but fails Valgrind? Or are some tests worth only half a point?
Answer: It could be any manner of things, whether that be a valgrind, style, or test issue somewhere in the program. You'll receive the whole report once grades are released."
hw1,"Question: The hw1 spec doesn't mention anything about the elementAt function handling empty arrays, should we treat it like the first function, and have it throw a runtime error? 
For example, if someone asks for elementAt(0) of an empty array, how should we handle that?"
hw1,"Question: Do I throw exceptions in both my CharArrayList.cpp file and my unit test file, so that then the unit test would be checking to see that both did/didn't throw exceptions and thus that they match? Or do I use cerr statements in my .cpp file that would then cause exceptions to be thrown in my unit test?
Or do I write hyperspecific ranges for each test I'm doing in another function and then try to throw the exception there? I feel like the simple_exception.cpp does this but the insertAt unit tests we are given don't. 
Answer: Elias's answer sums it up pretty well. Take a look at simple_exception.cpp (part of the starter files) for examples of how to throw exceptions."
hw1,"Question: How should we handle a case with an empty array list when replacing. Since 0 would technically still be in range of the index should be be able to replace?
Answer: When the spec says the range is [0 ... SIZE), [ is an inclusive boundary and ) is an exclusive boundary. You should not be able to replace at an index equal to the size.

(EDIT: replace, not insert)"
hw1,"Question: What is the syntax for formatting a dynamic exception error message, like the one in elementAt? I can't figure out how to integrate the variables into the message.
Answer: In order to throw an error message that contains variables, you can just use standard string concatenation. A runtime_error or range_error must take in a single string. So you'll need to concatenate the message format with any variables in their string format."
hw1,"Question: I made all 5 submissions and passed all of the non-hidden tests, but seemed to have failed one or two. Will we see all of them when we get our full score back?
Answer: Yes, you’ll see all of the hidden tests after we publish grades."
hw1,Question: Are we not allowed to use break or || symbols as part of the style guide? what are we supposed to use as a replacement?
hw1,"Question: The spec specifies that when we call insertAt, all of the elements to the right of the indicated index should shift one spot to the right. Should removeAt do the opposite? Meaning, should all of the elements to the right of the removed char shift back one spot to the left to fill the ""hole"" that the removed char leaves? My question also applies to popFromFront. Thanks!
Answer: I think the spec intro answers your question for you:
""Note that an array list cannot have “holes”: if you remove the fifth element (element 4) from a 10-element array list, then there are 9 elements left, and their positions are 0 through 8."""
hw1,"Question: When I try to run the timer executable, I get this error:
malloc(): corrupted top size
Abort (core dumped)
Any idea how to fix this? Is this an error with my code? Thanks!
Answer: Can you provide some more info? What exact command are you running? Have you been consistently running and passing your unit tests?"
hw1,"Question: Is it ok to include the following in my CharArrayList.cpp file?:
#include ""CharArrayList.h""
#include <stdexcept>
#include <iostream>
using namespace std;

When I don't include iostream I get errors such as these when running unit_test: no member named 'cout' in namespace 'std', even if I put std::cout or just cout. 

Do I need to have #include <sstream> like lab1 as well?
Answer: Yup, that is all definitely fine. sstream may not be strictly necessary, but you are welcome to use it if it is helpful for your implementation."
hw1,"Question: What is the policy on header files? E.g. which ones are we allowed to use and which ones should we refrain from using? Specifically, I want to use #include <sstream>, can I?
Answer: sstream is definitely okay! We don't have a standardized list of libraries that you're not allowed to use, as it changes from assignment assignment (e.g., for HW1 you are not allowed to use the vector library, but you are encouraged to use it for future assignments). In general, if you are not sure, you can ask on piazza and we'll let you know."
hw1,Question: Does the README need to follow the 80-column requirement of the style guide?
hw1,"Question: Hello. Should we write unit tests for the constructors and destructor?
Answer: Sure. That sounds like a good idea. Of note, there’s not much you can really test with the various constructors, other than that you don’t have a Valgrind issue with them. The destructor will always be implicitly called, but there’s not really a way to call it explicitly."
hw1,"Question: Just want to make sure if we are excepted to write function contracts for Constructors, Destructors, and Operator Overload (=) -- if we consider them functions at all?
Answer: The constructor, destructor, etc., are special member functions. So, yes, they do need function contracts."
